,bath,bhk,building_status,rate_persqft,area _insqft,location,property_type,construction_status,price
0,4,3,0,10222,4500,1 Nagole Main Road,0,1,459.99
1,3,5,0,10074,6750,1 Nagole Main Road,0,1,680.0
2,2,1,1,2127,1100,Adibatla,1,0,23.4
3,1,1,1,2000,650,Adibatla,1,0,13.0
4,2,1,0,1929,1140,Adibatla,1,0,21.99
5,2,2,1,2200,1000,Adibatla,1,0,22.0
6,2,2,1,2200,1238,Adibatla,1,0,27.24
7,2,2,1,2200,1002,Adibatla,1,0,22.04
8,2,2,1,2181,1100,Adibatla,1,0,23.99
9,2,2,1,2200,1000,Adibatla,1,0,22.0
10,2,2,1,2291,1200,Adibatla,1,1,27.49
11,2,2,1,2001,1010,Adibatla,1,1,20.21
12,2,2,1,2200,1001,Adibatla,1,0,22.02
13,2,2,1,2200,1003,Adibatla,1,0,22.07
14,2,2,1,2200,1004,Adibatla,1,0,22.09
15,2,2,1,2200,1005,Adibatla,1,0,22.11
16,2,2,1,2200,1006,Adibatla,1,0,22.13
17,2,2,1,2200,1007,Adibatla,1,0,22.15
18,2,2,1,2200,1008,Adibatla,1,0,22.18
19,2,2,1,2200,1000,Adibatla,1,0,22.0
20,2,2,1,2200,1001,Adibatla,1,0,22.02
21,2,2,1,2200,1000,Adibatla,1,1,22.0
22,2,2,1,2200,1233,Adibatla,1,0,27.13
23,2,2,1,2200,1230,Adibatla,1,0,27.06
24,2,2,1,2200,1140,Adibatla,1,1,25.08
25,3,2,1,2200,1130,Adibatla,1,0,24.86
26,2,2,1,2200,1024,Adibatla,1,0,22.53
27,2,2,1,2200,1250,Adibatla,1,0,27.5
28,2,2,1,2200,1022,Adibatla,1,0,22.48
29,2,2,1,2199,1013,Adibatla,1,0,22.28
30,2,2,1,2200,1012,Adibatla,1,0,22.26
31,2,2,1,2200,1011,Adibatla,1,0,22.24
32,2,2,1,2200,1010,Adibatla,1,0,22.22
33,2,2,1,2200,1120,Adibatla,1,0,24.64
34,2,2,1,2198,1232,Adibatla,1,0,27.08
35,2,2,1,2200,1239,Adibatla,1,0,27.26
36,2,2,1,2200,1237,Adibatla,1,0,27.21
37,2,2,1,2200,1023,Adibatla,1,0,22.51
38,2,2,1,2200,1206,Adibatla,1,0,26.53
39,2,2,1,2200,1101,Adibatla,1,0,24.22
40,2,2,1,2200,1100,Adibatla,1,0,24.2
41,1,2,1,2197,1109,Adibatla,1,0,24.36
42,2,2,1,2200,1108,Adibatla,1,0,24.38
43,2,2,1,2199,1107,Adibatla,1,0,24.34
44,2,2,1,2200,1106,Adibatla,1,0,24.33
45,2,2,1,2200,1105,Adibatla,1,0,24.31
46,2,2,1,2200,1104,Adibatla,1,0,24.29
47,3,2,1,2200,1103,Adibatla,1,0,24.27
48,2,2,1,2199,1102,Adibatla,1,0,24.23
49,2,2,1,2200,1251,Adibatla,1,0,27.52
50,2,2,1,2200,1236,Adibatla,1,0,27.19
51,2,2,1,2200,1241,Adibatla,1,0,27.3
52,2,2,1,2500,1050,Adibatla,1,0,26.25
53,3,2,1,2200,1240,Adibatla,1,0,27.28
54,2,2,1,2200,1205,Adibatla,1,0,26.51
55,2,2,1,2200,1235,Adibatla,1,0,27.17
56,2,2,1,2750,1200,Adibatla,1,0,33.0
57,2,2,1,2000,1100,Adibatla,1,0,22.0
58,2,2,1,2200,1000,Adibatla,1,0,22.0
59,2,2,1,2200,1010,Adibatla,1,0,22.22
60,2,2,1,2200,1140,Adibatla,1,0,25.08
61,2,2,1,1965,1160,Adibatla,1,0,22.79
62,2,2,1,2000,1000,Adibatla,1,0,20.0
63,2,2,1,2200,1000,Adibatla,1,0,22.0
64,2,2,0,2200,1000,Adibatla,1,0,22.0
65,2,2,1,2300,1000,Adibatla,1,1,23.0
66,2,2,1,2000,1160,Adibatla,1,0,23.2
67,2,2,1,2000,1200,Adibatla,1,0,24.0
68,2,2,1,2800,1160,Adibatla,1,0,32.48
69,2,2,1,2000,1200,Adibatla,1,0,24.0
70,2,2,1,2272,1100,Adibatla,1,1,24.99
71,2,2,1,2300,1002,Adibatla,1,1,23.05
72,2,2,1,2200,1000,Adibatla,1,1,22.0
73,2,2,1,1929,1140,Adibatla,1,0,21.99
74,2,2,1,2300,1000,Adibatla,1,1,23.0
75,2,2,1,2000,1200,Adibatla,1,0,24.0
76,2,2,1,1760,1250,Adibatla,1,0,22.0
77,2,2,1,2300,1000,Adibatla,1,0,23.0
78,2,2,1,2000,950,Adibatla,1,0,19.0
79,2,2,1,2200,1000,Adibatla,1,0,22.0
80,2,2,1,2100,1200,Adibatla,1,0,25.2
81,2,2,1,2400,1000,Adibatla,1,0,24.0
82,2,2,1,2200,1000,Adibatla,1,0,22.0
83,2,2,1,1800,1000,Adibatla,1,0,18.0
84,2,2,1,2300,1000,Adibatla,1,0,23.0
85,2,2,1,2300,1000,Adibatla,1,0,23.0
86,2,2,1,2200,1003,Adibatla,1,0,22.07
87,2,2,1,2200,1004,Adibatla,1,0,22.09
88,2,2,1,2200,1005,Adibatla,1,0,22.11
89,2,2,1,2200,1006,Adibatla,1,0,22.13
90,2,2,1,2200,1002,Adibatla,1,0,22.04
91,2,2,1,2200,1000,Adibatla,1,1,22.0
92,2,2,1,1800,1000,Adibatla,1,1,18.0
93,2,2,1,2173,1150,Adibatla,1,0,24.99
94,2,2,1,2000,1160,Adibatla,1,0,23.2
95,2,2,1,2200,1100,Adibatla,1,0,24.2
96,2,2,1,2200,1127,Adibatla,1,0,24.79
97,2,2,1,2200,1112,Adibatla,1,0,24.46
98,2,2,1,2136,1100,Adibatla,1,0,23.5
99,2,2,1,2200,1126,Adibatla,1,0,24.77
100,2,2,1,2200,1128,Adibatla,1,0,24.82
101,2,2,1,2200,1129,Adibatla,1,0,24.84
102,2,2,1,2200,1131,Adibatla,1,0,24.88
103,2,2,1,2200,1132,Adibatla,1,0,24.9
104,2,2,1,2192,1140,Adibatla,1,1,24.99
105,2,2,1,2122,1140,Adibatla,1,0,24.19
106,2,2,1,2200,1009,Adibatla,1,0,22.2
107,2,2,1,2000,1000,Adibatla,1,0,20.0
108,2,2,1,2200,1110,Adibatla,1,0,24.42
109,2,2,1,2200,1010,Adibatla,1,0,22.22
110,2,2,1,2333,1200,Adibatla,1,1,28.0
111,2,2,1,2192,1140,Adibatla,1,0,24.99
112,2,2,1,2200,1000,Adibatla,1,0,22.0
113,2,2,1,2192,1140,Adibatla,1,1,24.99
114,2,2,1,2192,1140,Adibatla,1,1,24.99
115,2,2,1,2095,1050,Adibatla,1,1,22.0
118,3,3,1,2564,1560,Adibatla,1,0,40.0
121,3,3,1,2402,1665,Adibatla,1,0,39.99
124,3,3,1,2192,1140,Adibatla,1,0,24.99
125,2,3,1,2200,1301,Adibatla,1,0,28.62
126,3,3,1,2200,1369,Adibatla,1,0,30.12
